list name,task description,run time,timer started,timer stopped
"grocery-back-office-app","Clean the project",220,2025-11-29T04:29:20+0200,2025-11-29T04:33:01+0200
"grocery-back-office-app","Clean the project",1473,2025-11-29T04:58:48+0200,2025-11-29T05:23:21+0200
"grocery-back-office-app","Brand color and logo",104,2025-11-29T05:43:14+0200,2025-11-29T05:44:58+0200
"grocery-back-office-app","Brand color and logo",6,2025-11-29T05:45:04+0200,2025-11-29T05:45:11+0200
"grocery-back-office-app","Clean the project (Again!)",1500,2025-11-29T05:45:18+0200,2025-11-29T06:10:18+0200
"grocery-back-office-app","Clean the project (Again!)",1500,2025-11-29T06:18:37+0200,2025-11-29T06:43:37+0200
"grocery-back-office-app","Clean the project (Again!)",1500,2025-11-29T06:55:24+0200,2025-11-29T07:20:25+0200
"grocery-back-office-app","Write models",1500,2025-11-29T07:44:36+0200,2025-11-29T08:09:37+0200
"grocery-back-office-app","Write models",44,2025-11-29T08:42:54+0200,2025-11-29T18:48:14+0200
"grocery-back-office-app","Write services",15,2025-11-29T19:34:36+0200,2025-11-29T19:34:51+0200
